#Frame     RMSD_00002
       1       0.0000
       2       1.2803
       3       1.6639
       4       1.7128
       5       1.3805
       6       1.4257
       7       1.6462
       8       1.7548
       9       1.9507
      10       1.3637
      11       1.8641
      12       1.6274
      13       1.7425
      14       1.4347
      15       1.6700
      16       1.7494
      17       1.5763
      18       1.6505
      19       1.3620
      20       1.6659
      21       1.3752
      22       1.3536
      23       1.5533
      24       1.4073
      25       1.1796
      26       1.3017
      27       1.4349
      28       1.2459
      29       1.4304
      30       1.3289
      31       1.3743
      32       1.4574
      33       1.4864
      34       1.6603
      35       1.3900
      36       1.6184
