#Frame     RMSD_00002
       1       0.0000
       2       1.9497
       3       1.8560
       4       1.9888
       5       2.1549
       6       2.0657
       7       1.9639
       8       2.0588
       9       2.0913
      10       2.0261
      11       1.8894
      12       2.0306
      13       2.3343
      14       2.1999
      15       2.0885
      16       1.9249
      17       2.0853
      18       2.1055
      19       1.9895
      20       2.1355
      21       1.9765
      22       1.7591
      23       1.9100
      24       2.0968
      25       1.9960
      26       2.2417
