#Frame     RMSD_00002
       1       0.0000
       2       0.9256
       3       0.8855
       4       0.8013
       5       0.7732
       6       0.9897
       7       0.8786
       8       0.9167
       9       1.1241
      10       0.9448
      11       0.9997
      12       0.9386
      13       1.1045
      14       1.1282
      15       1.0085
      16       0.9264
      17       0.9607
      18       0.9532
      19       0.7715
      20       1.0208
      21       0.9280
      22       0.8888
      23       0.8568
      24       1.0235
      25       0.8805
      26       0.8308
      27       0.8686
      28       0.7843
      29       0.6967
      30       1.1080
      31       1.0339
      32       0.8366
      33       0.8483
      34       0.8559
      35       0.9541
      36       1.1652
      37       1.0775
      38       0.9870
      39       0.9072
      40       1.1637
      41       0.7821
      42       0.8388
      43       1.2633
      44       0.8490
      45       0.7150
      46       0.7665
      47       0.7823
      48       0.7774
      49       0.7953
      50       0.8390
      51       0.9626
      52       0.8806
      53       0.9606
      54       0.8729
      55       1.0439
      56       1.0105
