#Frame     RMSD_00002
       1       0.0000
       2       0.7440
       3       1.0773
       4       1.0314
       5       0.9465
       6       1.1505
       7       1.0046
       8       1.0517
       9       0.9404
      10       1.0363
      11       1.1290
      12       0.9636
      13       0.9782
      14       0.9782
      15       1.0562
      16       1.1564
      17       1.0754
      18       1.0116
      19       1.0064
      20       1.0784
      21       0.9916
      22       1.0806
      23       1.0419
      24       1.1468
      25       1.0447
      26       1.0522
      27       1.0747
      28       1.0409
      29       1.0198
      30       0.9501
      31       1.1400
      32       1.1056
      33       0.8993
      34       0.9879
      35       1.0258
