#Frame     RMSD_00002
       1       0.0000
       2       0.8889
       3       0.9443
       4       0.9833
       5       0.8579
       6       1.1312
       7       1.0209
       8       1.0511
       9       0.8490
      10       1.0886
      11       1.0795
      12       1.0605
      13       1.2490
      14       0.9397
      15       1.0778
      16       0.9062
      17       0.9416
      18       1.0554
      19       0.8401
      20       1.0826
      21       0.9558
      22       0.9717
      23       1.0765
      24       1.0128
