#Frame     RMSD_00002
       1       0.0000
       2       0.7895
       3       0.9019
       4       0.7429
       5       0.8673
       6       0.8807
       7       0.8808
       8       0.9029
       9       0.9922
      10       0.8865
      11       0.9454
      12       1.0570
      13       0.8888
      14       0.7615
      15       1.1145
      16       0.9070
      17       0.9321
      18       0.9103
      19       0.9655
      20       0.8699
      21       1.0721
      22       1.2529
      23       1.2131
      24       1.3030
      25       1.4434
      26       1.2203
